Collection,OBJ ID,English Name,Japanese Name
Bones,FJ3176,Atlas,環椎（第1頚椎 C1）
Bones,FJ3177,Axis,軸椎（第2頚椎 C2）
Bones,FJ3167,Fifth cervical vertebra,頚椎
Bones,FJ3164,Fourth cervical vertebra,頚椎
Bones,FJ3200,Frontal bone,前頭骨
Bones,FJ3274,Left parietal bone,頭頂骨
Bones,FJ3281,Left temporal bone,側頭骨
Bones,FJ3289,Mandible,下顎骨
Bones,FJ3309,Occipital bone,後頭骨
Bones,FJ3380,Right parietal bone,頭頂骨
Bones,FJ3386,Right temporal bone,側頭骨
Bones,FJ3172,Seventh cervical vertebra,頚椎
Bones,FJ3170,Sixth cervical vertebra,頚椎
Bones,FJ3394,Sphenoid bone,蝶形骨
Bones,FJ3161,Third cervical vertebra,頚椎
Muscles,FJ1520M,Ascending part of left trapezius,僧帽筋
Muscles,FJ1520,Ascending part of right trapezius,僧帽筋
Muscles,FJ1521M,Descending part of left trapezius,僧帽筋
Muscles,FJ1521,Descending part of right trapezius,僧帽筋
Muscles,FJ1557,Inferior oblique part of left longus colli,頚長筋
Muscles,FJ1532M,Left levator scapulae,肩甲挙筋
Muscles,FJ1561,Left longus capitis,頭長筋
Muscles,FJ1563,Left obliquus capitis inferior,下頭斜筋
Muscles,FJ1564,Left obliquus capitis superior,上頭斜筋
Muscles,FJ1566,Left rectus capitis anterior,前頭直筋
Muscles,FJ1569,Left rectus capitis lateralis,外側頭直筋
Muscles,FJ1567,Left rectus capitis posterior major,大後頭直筋
Muscles,FJ1568,Left rectus capitis posterior minor,小後頭直筋
Muscles,FJ1538M,Left semispinalis capitis,頭半棘筋
Muscles,FJ1539M,Left semispinalis cervicis,頚半棘筋
Muscles,FJ1545M,Left splenius capitis,頭板状筋
Muscles,FJ1546M,Left splenius cervicis,頚板状筋
Muscles,FJ1573,Left sternocleidomastoid,胸鎖乳突筋
Muscles,FJ1532,Right levator scapulae,肩甲挙筋
Muscles,FJ1582,Right longus capitis,頭長筋
Muscles,FJ1584,Right obliquus capitis inferior,下頭斜筋
Muscles,FJ1585,Right obliquus capitis superior,上頭斜筋
Muscles,FJ1588,Right rectus capitis anterior,前頭直筋
Muscles,FJ1591,Right rectus capitis lateralis,外側頭直筋
Muscles,FJ1589,Right rectus capitis posterior major,大後頭直筋
Muscles,FJ1590,Right rectus capitis posterior minor,小後頭直筋
Muscles,FJ1538,Right semispinalis capitis,頭半棘筋
Muscles,FJ1539,Right semispinalis cervicis,頚半棘筋
Muscles,FJ1545,Right splenius capitis,頭板状筋
Muscles,FJ1546,Right splenius cervicis,頚板状筋
Muscles,FJ1595,Right sternocleidomastoid,胸鎖乳突筋
Muscles,FJ1600,Superior oblique part of left longus colli,頚長筋
Muscles,FJ1554M,Transverse part of left trapezius,僧帽筋
Muscles,FJ1554,Transverse part of right trapezius,僧帽筋
Muscles,FJ1601,Vertical intermediate part of left longus colli,頚長筋
Nerves,FJ1311,Communicating branch of left nasociliary nerve with left ciliary ganglion,鼻毛様体神経
Nerves,FJ1362,Communicating branch of right nasociliary nerve with right ciliary ganglion,鼻毛様体神経
Nerves,FJ1293,Inferior branch of left oculomotor nerve,動眼神経
Nerves,FJ1344,Inferior branch of right oculomotor nerve,動眼神経
Nerves,FJ1283,Left anterior ethmoidal nerve,前篩骨神経
Nerves,FJ1288,Left ciliary ganglion,毛様体神経節
Nerves,FJ1290,Left frontal nerve,前頭神経
Nerves,FJ1296,Left infratrochlear nerve,滑車下神経
Nerves,FJ1300,Left lacrimal nerve,涙腺神経
Nerves,FJ1318,Left long ciliary nerve,長毛様体神経
Nerves,FJ1310,Left nasociliary nerve,鼻毛様体神経
Nerves,FJ1312,Left ophthalmic nerve,眼神経（三叉神経第1枝 V1）
Nerves,FJ1313,Left optic nerve,視神経
Nerves,FJ1772,Left optic nerve,視神経
Nerves,FJ1315,Left posterior ethmoidal nerve,後篩骨神経
Nerves,FJ1325,Left supra-orbital nerve,眼窩上神経
Nerves,FJ1326,Left supratrochlear nerve,滑車上神経
