OBJ File,OBJ ID,English Name,Japanese Name,FMA ID,Category,Region,Headache Importance,Headache Type,Recommended Blender Collection,Description,BBox(mm),Buildup,Mirror,Vertices,Faces
FJ1252.obj,FJ1252,Gingiva of upper jaw,,FMA59763,Other,Neck,,None,Others,,69.6×54×18.5,part_of,,,
FJ1252.obj,FJ1252,Gingiva of upper jaw,,FMA59763,Other,Neck,,None,Others,,69.6×54×18.5,is_a,,,
FJ1253.obj,FJ1253,Gingiva of lower jaw,,FMA59764,Other,Neck,,None,Others,,75.4×53.6×36.1,part_of,,,
FJ1253.obj,FJ1253,Gingiva of lower jaw,,FMA59764,Other,Neck,,None,Others,,75.4×53.6×36.1,is_a,,,
FJ1254.obj,FJ1254,Left lower first secondary molar tooth,,FMA55704,Other,Neck,,None,Others,,12.4×15.1×19.8,is_a,,,
FJ1255.obj,FJ1255,Left lower first secondary premolar tooth,,FMA55693,Other,Neck,,None,Others,,8×14.2×22.5,is_a,,,
FJ1256.obj,FJ1256,Left lower second secondary molar tooth,,FMA55703,Other,Neck,,None,Others,,12.1×16.5×18.7,is_a,,,
FJ1257.obj,FJ1257,Left lower second secondary premolar tooth,,FMA55692,Other,Neck,,None,Others,,8.2×13.3×23.4,is_a,,,
FJ1258.obj,FJ1258,Left lower central secondary incisor tooth,,FMA57143,Other,Neck,,None,Others,,5.9×18.2×25.5,is_a,,,
FJ1259.obj,FJ1259,Left lower lateral secondary incisor tooth,,FMA57141,Other,Neck,,None,Others,,7.9×16.9×25.2,is_a,,,
FJ1260.obj,FJ1260,Left lower secondary canine tooth,,FMA55687,Other,Neck,,None,Others,,8.7×15.6×26.9,is_a,,,
FJ1261.obj,FJ1261,Left upper first secondary molar tooth,,FMA55699,Other,Neck,,None,Others,,11.6×11.6×24.6,is_a,,,
FJ1262.obj,FJ1262,Left upper first secondary premolar tooth,,FMA55690,Other,Neck,,None,Others,,9.5×8.1×28.5,is_a,,,
FJ1263.obj,FJ1263,Left upper second secondary molar tooth,,FMA55700,Other,Neck,,None,Others,,11.9×9.9×22.7,is_a,,,
FJ1264.obj,FJ1264,Left upper second secondary premolar tooth,,FMA55691,Other,Neck,,None,Others,,9.3×7.6×26,is_a,,,
FJ1265.obj,FJ1265,Left upper central secondary incisor tooth,,FMA55682,Other,Neck,,None,Others,,8.9×12.9×26.5,is_a,,,
FJ1266.obj,FJ1266,Left upper lateral secondary incisor tooth,,FMA55683,Other,Neck,,None,Others,,9.7×11.7×29,is_a,,,
FJ1267.obj,FJ1267,Left upper secondary canine tooth,,FMA55799,Other,Neck,,None,Others,,9.3×9.3×31.4,is_a,,,
FJ1268.obj,FJ1268,Right lower first secondary molar tooth,,FMA55705,Other,Neck,,None,Others,,12.4×15.1×19.8,is_a,,,
FJ1269.obj,FJ1269,Right lower first secondary premolar tooth,,FMA55694,Other,Neck,,None,Others,,8×14.2×22.5,is_a,,,
